 ,Area,Mean,Min,Max
1,2289.642,255,255,255
2,2493.812,255,255,255
3,2690.345,255,255,255
4,2259.972,255,255,255
5,3136.581,255,255,255
6,3731.465,255,255,255
7,3493.511,255,255,255
8,3843.098,255,255,255
9,2539.641,255,255,255
10,2765.550,255,255,255
11,2764.375,255,255,255
12,2339.583,255,255,255
13,10212.322,255,255,255
14,3469.716,255,255,255
15,3468.835,255,255,255
16,3342.807,255,255,255
17,2957.088,255,255,255
18,2800.802,255,255,255
19,1965.320,255,255,255
20,4652.140,255,255,255
21,5943.552,255,255,255
22,2157.740,255,255,255
23,3721.771,255,255,255
24,2639.522,255,255,255
25,3139.812,255,255,255
26,3757.610,255,255,255
27,2597.219,255,255,255
28,2307.269,255,255,255
29,2644.810,255,255,255
30,2629.828,255,255,255
31,2702.977,255,255,255
32,2413.907,255,255,255
33,2483.531,255,255,255
34,2151.864,255,255,255
35,773.790,255,255,255
36,3027.886,255,255,255
37,2950.625,255,255,255
38,3265.252,255,255,255
39,2666.255,255,255,255
40,2949.156,255,255,255
41,3113.961,255,255,255
42,3788.456,255,255,255
43,2246.164,255,255,255
44,1678.601,255,255,255
45,565.801,255,255,255
46,3071.070,255,255,255
47,3249.682,255,255,255
48,3097.803,255,255,255
49,2421.839,255,255,255
50,3066.957,255,255,255
51,2483.237,255,255,255
52,2460.616,255,255,255
53,3904.789,255,255,255
54,3008.204,255,255,255
55,3011.435,255,255,255
56,2511.145,255,255,255
57,3400.680,255,255,255
58,2867.194,255,255,255
59,2789.639,255,255,255
60,2442.109,255,255,255
61,3411.256,255,255,255
62,2203.568,255,255,255
63,8300.762,255,255,255
64,3312.549,255,255,255
65,2950.331,255,255,255
66,3077.827,255,255,255
67,3474.710,255,255,255
68,2470.605,255,255,255
69,3082.527,255,255,255
70,2923.304,255,255,255
71,2572.837,255,255,255
72,3555.497,255,255,255
73,3454.440,255,255,255
74,2756.737,255,255,255
75,3061.082,255,255,255
76,2537.878,255,255,255
77,2328.420,255,255,255
78,2534.059,255,255,255
79,2405.975,255,255,255
80,3502.618,255,255,255
81,13967.289,255,255,255
82,3385.992,255,255,255
83,2539.641,255,255,255
84,2513.789,255,255,255
85,3001.741,255,255,255
86,3598.975,255,255,255
87,2710.908,255,255,255
88,2690.638,255,255,255
89,2868.369,255,255,255
90,2251.159,255,255,255
91,3071.952,255,255,255
92,2086.647,255,255,255
93,3056.969,255,255,255
94,3628.646,255,255,255
95,2603.389,255,255,255
96,3191.516,255,255,255
97,2203.274,255,255,255
98,2731.179,255,255,255
99,3215.311,255,255,255
100,2807.852,255,255,255
101,2500.569,255,255,255
102,7004.649,255,255,255
103,2799.921,255,255,255
104,3015.842,255,255,255
105,3215.018,255,255,255
106,2522.896,255,255,255
107,1805.216,255,255,255
108,2416.257,255,255,255
109,7729.379,255,255,255
110,2109.268,255,255,255
111,2858.087,255,255,255
112,7271.098,255,255,255
113,2345.752,255,255,255
114,2417.726,255,255,255
115,2261.441,255,255,255
116,2447.984,255,255,255
117,2626.596,255,255,255
118,3324.006,255,255,255
119,3174.477,255,255,255
120,3215.018,255,255,255
121,3271.715,255,255,255
122,2672.718,255,255,255
123,4073.119,255,255,255
124,2965.313,255,255,255
125,3148.919,255,255,255
126,2541.403,255,255,255
127,2249.983,255,255,255
128,2340.171,255,255,255
129,2204.743,255,255,255
130,3314.606,255,255,255
131,3140.400,255,255,255
132,2826.066,255,255,255
133,2871.894,255,255,255
134,3254.089,255,255,255
135,2072.840,255,255,255
136,3547.859,255,255,255
137,2942.987,255,255,255
138,2196.224,255,255,255
139,2781.119,255,255,255
140,1376.018,255,255,255
141,2291.405,255,255,255
142,3202.385,255,255,255
143,2230.595,255,255,255
144,7232.321,255,255,255
145,2978.239,255,255,255
146,2398.337,255,255,255
147,2842.517,255,255,255
148,2328.126,255,255,255
149,2210.325,255,255,255
150,3909.196,255,255,255
151,2739.404,255,255,255
152,2271.429,255,255,255
153,3034.937,255,255,255
154,3242.926,255,255,255
155,2117.199,255,255,255
156,2596.338,255,255,255
157,2296.105,255,255,255
158,3424.475,255,255,255
159,3463.253,255,255,255
160,2112.205,255,255,255
161,2914.197,255,255,255
162,3085.759,255,255,255
163,2341.640,255,255,255
164,2251.746,255,255,255
165,3072.245,255,255,255
166,2634.234,255,255,255
167,2536.703,255,255,255
168,3729.702,255,255,255
169,3362.196,255,255,255
170,2879.826,255,255,255
171,2950.331,255,255,255
172,2681.531,255,255,255
173,2932.998,255,255,255
174,4171.826,255,255,255
175,2401.569,255,255,255
176,4046.386,255,255,255
177,3647.741,255,255,255
178,3715.601,255,255,255
179,3324.300,255,255,255
180,2324.307,255,255,255
181,2899.215,255,255,255
182,2385.705,255,255,255
183,2356.622,255,255,255
184,2959.438,255,255,255
185,3127.768,255,255,255
186,2963.551,255,255,255
187,3424.769,255,255,255
188,3067.545,255,255,255
189,3147.450,255,255,255
190,3108.379,255,255,255
191,2076.953,255,255,255
192,2478.536,255,255,255
193,3949.148,255,255,255
194,2838.698,255,255,255
195,3455.615,255,255,255
196,2452.097,255,255,255
197,4075.176,255,255,255
198,2927.711,255,255,255
199,2780.826,255,255,255
200,2937.699,255,255,255
201,2863.081,255,255,255
202,2661.261,255,255,255
203,3549.621,255,255,255
204,3079.002,255,255,255
205,3050.506,255,255,255
206,2964.726,255,255,255
207,2930.355,255,255,255
208,2209.149,255,255,255
209,3353.971,255,255,255
210,3863.955,255,255,255
211,3087.228,255,255,255
212,3701.794,255,255,255
213,3281.997,255,255,255
214,2457.679,255,255,255
215,3487.048,255,255,255
216,3711.195,255,255,255
217,2819.603,255,255,255
218,4096.327,255,255,255
219,2069.021,255,255,255
220,2760.849,255,255,255
221,2914.491,255,255,255
222,3480.879,255,255,255
223,3651.853,255,255,255
224,2657.442,255,255,255
225,2734.998,255,255,255
226,3045.219,255,255,255
227,3462.959,255,255,255
228,2887.758,255,255,255
229,2665.962,255,255,255
230,3458.259,255,255,255
231,3246.745,255,255,255
232,3529.058,255,255,255
233,3477.060,255,255,255
234,2596.044,255,255,255
235,2750.567,255,255,255
236,3287.285,255,255,255
237,2344.284,255,255,255
238,2969.720,255,255,255
239,2819.309,255,255,255
240,2778.769,255,255,255
241,2913.022,255,255,255
242,2896.865,255,255,255
243,2551.685,255,255,255
244,2385.705,255,255,255
245,3999.383,255,255,255
246,2753.505,255,255,255
247,3195.629,255,255,255
248,2093.698,255,255,255
249,2851.918,255,255,255
250,565.801,255,255,255
251,224.146,255,255,255
