 ,Area,Mean,Min,Max
1,9912,255,255,255
2,9775,255,255,255
3,10069,255,255,255
4,11548,255,255,255
5,12553,255,255,255
6,6381,255,255,255
7,71,255,255,255
8,10542,255,255,255
9,6712,255,255,255
10,10089,255,255,255
11,66,255,255,255
12,61,255,255,255
13,63,255,255,255
14,10987,255,255,255
15,8393,255,255,255
16,58,255,255,255
17,59,255,255,255
18,8140,255,255,255
19,51,255,255,255
20,9426,255,255,255
21,52,255,255,255
22,57,255,255,255
23,71,255,255,255
24,53,255,255,255
25,11336,255,255,255
26,81,255,255,255
27,8996,255,255,255
28,7760,255,255,255
29,8792,255,255,255
30,10185,255,255,255
31,7384,255,255,255
32,9594,255,255,255
33,12551,255,255,255
34,9714,255,255,255
35,56,255,255,255
36,56,255,255,255
